name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Samarkand International Airport,SKD,UZ,UZ-SA,Samarkand,large_airport,yes,39.698187,66.98421
Termez Airport,TMJ,UZ,UZ-SU,Termez,medium_airport,yes,37.287261,67.311869
Tashkent International Airport,TAS,UZ,UZ-TO,Tashkent,large_airport,yes,41.2579,69.281197
Zomin Airport,OMN,UZ,UZ-JI,Zaamin,medium_airport,yes,40.01402,68.41103
Ustupu Airport,UTU,PA,PA-GY,Ustupu,small_airport,no,9.1283,-77.9337
Kostroma Sokerkino Airport,KMW,RU,RU-KOS,Kostroma,medium_airport,yes,57.796902,41.019402
Grabtsevo Airport,KLF,RU,RU-KLU,Kaluga,medium_airport,no,54.5499992371,36.3666687012
Ivanovo South Airport,IWA,RU,RU-IVA,Ivanovo,medium_airport,yes,56.93939971923828,40.940799713134766
Staroselye Airport,RYB,RU,RU-YAR,Rybinsk,medium_airport,yes,58.104198,38.929401
Bryansk International Airport,BZK,RU,RU-BRY,Bryansk,medium_airport,yes,53.214199,34.176399
Zhukovsky International Airport,ZIA,RU,RU-MOS,Moscow,large_airport,yes,55.553299,38.150002
Domodedovo International Airport,DME,RU,RU-MOS,Moscow,large_airport,yes,55.408798,37.9063
Golden Ring Yaroslavl International Airport,IAR,RU,RU-YAR,Tunoshna,large_airport,yes,57.560699,40.157398
Sheremetyevo International Airport,SVO,RU,RU-MOS,Moscow,large_airport,yes,55.976858,37.41121
Migalovo Air Base,KLD,RU,RU-TVE,Tver,medium_airport,no,56.82469940185547,35.7577018737793
Chkalovskiy Air Base,CKL,RU,RU-MOS,Moscow,medium_airport,no,55.8783,38.061699
Belgorod International Airport,EGO,RU,RU-BEL,Belgorod,medium_airport,yes,50.643798828125,36.5900993347168
Kursk East Airport,URS,RU,RU-KRS,Kursk,medium_airport,yes,51.7505989074707,36.29560089111328
